S1A,S1B,S1C,S1D,S2A,S2B,S2C,S2D
MCH--12---,MPREC11---,MSS--10---,MFR--09---,MTDRF11---,MADER09---,MPHE-09---,MENR-11---,
MCH--11---,MFOOD12---,MINST12---,MMUOR12S-L,MPGEO12---,YED--2CX--,YPSYC1AX--,MFOOD12---,
MTXT-12---,MADIT09---,MFOOD12---,MWWK-12---,MPH--11---,MCH--12---,MSC--09---,YED--1DX--,
MPREC11---,MPHED10---,MTDRF12---,MPREC12---,YED--0AX--,MPHE-09B--,YED--1DX-L,MDNCN12---,
MADGE09---,MTAUT11---,MENR-11---,MWH--12---,MSS--10---,YPA--2CX--,MFMP-10C--,MMA--09H--,
MACC-12---,YED--0AX--,MCH--11---,YCPA-0AX-L,MDCF-12---,MCMPS11---,YLRA-0AX-L,MADT-09---,
MPHE-09B--,MVAPH11---,MCH--12---,MLTST11C--,MPHED10---,YED--1DX--,MAC--11---,MDNTP11---,
YLAW-2CX--,MODED12---,MTXT-10---,MMEDD10---,MSS--10C--,MENR-12---,YED--0AX--,MDNCM11--L,
MINST12C--,MPHED10G--,MSP--11---,MAC--11---,MAC--11---,MADGE09---,XLDCB09LS-,MLST-12---,
MSP--09---,MSC--10C--,MACC-12---,MPHED10--L,MMA--09---,MSP--12---,MFR--10---,MSS--09---,
MSC--09C--,MTDRF12---,MTROB11---,MEFLS10---,MACC-12---,AELC-12---,MVAST10---,MLFSC11---,
MPHE-09B--,YED--0BX-L,YCPA-0AXE-,MPH--11---,YED--0AX--,YED--1DX--,MWPM-10---,MFOOD11---,
MVAST10---,XBA--09G--,XLDCB09LS-,MTXT-12---,MENR-11---,MLTST11C--,MFR--09---,YED--0AX--,
MMEDD12---,MFOOD12---,MCH--11---,MPREC11---,MTROB12---,XLDCB09LS-,MDNC-09PT-,MSPLG10---,
MACLV12---,MTDRF11---,MFOOD11---,MODED11---,YED--1DX--,MSS--09---,MWBDV10IT-,MPH--11---,
YED--2CX--,MFOOD11---,YPR--0BX--,MSC--09C--,YESFL1AX--,MTXT-11---,MCMCL12---,MCMPS11---,
MCALC12---,YED--2CX--,MSC--10C--,MENST12---,MIMJB12--L,MSC--09---,MEVSC11---,YED--2CX--,
MMEDD12---,MPHE-09G--,MCLE-10---,MSS--09C--,MCMCL12---,MTROB11---,MSP--09---,MCLC-12--L,
MDMD-12D--,MCH--12---,MEPSS11---,MBSP-11---,MDNTP10---,YED--2CX--,MEPSS11---,MWWK-11---,
MENR-11---,MEFLS10---,YED--2CX--,MENST12C--,YCPA-1AX-L,MIMG-12---,MSS--10---,MSS--10C--,
MSS--09---,MMA--09---,MADIT09---,MTXT-11---,YLRA-2AX-L,YED--2CX--,MPH--12---,MWWK-12---,
MFMP-10---,MFR--12---,MWH--12---,MWEX-2A--L,MGMT-12L--,MPHE-09B--,MTROB12---,XLDCB09LS-,
MENT-12---,MSC--09---,MDR--09---,MFOOD10---,XLDCB09LS-,MADD-09---,MLST-12---,MENR-12---,
MVAST11---,MEC--12---,MPREC12---,MSS--09---,YED--1DX-L,YPSYC1AX--,MTEAR10--L,MTEAR10---,
MCMPS11---,MCMCC11--L,YLRA-1AX-L,MCH--11---,MFOOD10---,MPH--11---,MPHE-09---,MADER09---,
MVAPH10---,YED--1DX-L,MSS--09---,MPREC12---,MPH--11---,MWWK-10---,MDNC-12--L,MTDRF10---,
YED--1DX--,MENR-12---,ACSC-2A---,YED--0AX--,MFOOD11---,MFMP-10---,MTEXP10---,YED--0AX-L,
MINST12C--,YED--1DX--,MMACS11---,MVA--09---,MEVSC12C--,MPHED10G--,MSP--10---,MEN--09---,
YED--2CX--,MSC--10---,MPHE-09Y--,MCMPS10C--,MEFWR10---,MTXT-10---,YED--0AX--,YED--0AX--,
MTDRF12---,YED--0AX--,MATPH12---,YED--2DX-L,YED--0AX--,MSC--10---,MVAST11---,XLDCE09NM-,
YPA--0CX--,MCH--11---,XLDCB09LS-,MIMJB11--L,MDNC-09H--,MCMPS11---,MIMCB11--L,YED--2CX-L,
MMUJB10--L,YED--1DX--,MPHED10B--,YLAW-2CX--,MCALC12---,MMA--09---,MTAUT12---,MTROB11---,
MDNTP12---,MTEAR10---,MADER09---,MFMP-10---,MADEM10---,MMUOR11S-L,MEFWR10---,MPHED10B--,
MTEXP10---,MFR--10---,YED--1DX--,MBSP-11---,MEFLS10---,XBA--09J-L,MCLC-12---,MSC--10---,
MPH--12---,MENFP12--Y,MTEXP10---,MADGE09---,MTAUT12---,MDCF-10---,MPHE-09G--,MLST-12---,
YED--0AX--,MDNC-11--L,MENFP12---,MWBDV10IT-,MPHED10G--,MFR--11---,MWPM-11---,MSS--09C--,
MTAUT11---,MSS--10---,MEFWR10---,MADGE09---,MENST12---,YED--2CX--,MADGE09---,MPHE-09--L,
XBA--09C-L,YED--1DX--,YED--0AX--,MFTCD12---,MVAPH10---,MDNC-09F--,XLDCB09M--,MCH--11---,
